E_c,E_p
2.912,6.774
2.894,6.792
2.877,6.809
2.862,6.824
2.847,6.839
2.834,6.852
2.822,6.864
2.812,6.874
2.802,6.884
2.794,6.892
2.787,6.899
2.781,6.905
2.777,6.909
2.773,6.913
2.770,6.915
2.769,6.917
2.769,6.917
2.770,6.916
2.771,6.915
2.774,6.912
2.778,6.908
2.784,6.902
2.790,6.896
2.797,6.889
2.806,6.880
2.816,6.870
2.827,6.859
2.839,6.847
2.853,6.833
2.868,6.818
2.884,6.802
2.901,6.785
2.920,6.766
2.941,6.746
2.962,6.724
2.985,6.701
3.010,6.676
3.036,6.650
3.063,6.623
3.092,6.594
3.123,6.563
3.155,6.531
3.188,6.498
3.223,6.463
3.260,6.426
3.298,6.388
3.338,6.349
3.379,6.308
3.422,6.265
3.466,6.221
3.512,6.175
3.559,6.128
3.608,6.079
3.658,6.029
3.710,5.978
3.763,5.925
3.817,5.870
3.873,5.814
3.931,5.757
3.989,5.698
4.050,5.639
4.111,5.577
4.174,5.515
4.237,5.451
4.303,5.386
4.369,5.320
4.436,5.253
4.505,5.185
4.575,5.115
4.645,5.045
4.717,4.973
4.790,4.901
4.863,4.827
4.938,4.753
5.013,4.678
5.089,4.602
5.166,4.526
5.244,4.448
5.322,4.370
5.401,4.292
5.481,4.212
5.561,4.133
5.642,4.052
5.723,3.972
5.804,3.891
5.886,3.809
5.968,3.728
6.051,3.646
6.133,3.563
6.216,3.481
6.299,3.399
6.382,3.316
6.465,3.234
6.548,3.151
6.631,3.069
6.713,2.987
6.796,2.905
6.878,2.823
6.960,2.742
7.042,2.661
7.123,2.580
7.204,2.500
7.284,2.420
7.364,2.341
7.443,2.263
7.522,2.185
7.600,2.108
7.677,2.031
7.753,1.955
7.829,1.881
7.904,1.807
7.977,1.734
8.050,1.662
8.122,1.591
8.193,1.521
8.262,1.452
8.331,1.384
8.398,1.317
8.464,1.252
8.529,1.188
8.593,1.125
8.655,1.064
8.716,1.004
8.775,0.946
8.833,0.889
8.890,0.833
8.945,0.779
8.998,0.727
9.050,0.676
9.100,0.627
9.148,0.579
9.195,0.533
9.240,0.489
9.283,0.447
9.325,0.406
9.365,0.367
9.403,0.330
9.439,0.295
9.473,0.262
9.505,0.231
9.536,0.201
9.564,0.174
9.590,0.149
9.615,0.125
9.638,0.103
9.658,0.084
9.677,0.066
9.693,0.051
9.708,0.038
9.720,0.026
9.730,0.017
9.739,0.009
9.745,0.004
9.749,0.001
9.751,0.000
9.751,0.001
9.749,0.004
9.745,0.009
9.739,0.016
9.731,0.026
9.721,0.037
9.708,0.050
9.694,0.066
9.678,0.083
9.659,0.103
9.639,0.124
9.616,0.147
9.592,0.173
9.565,0.200
9.537,0.230
9.507,0.261
9.474,0.294
9.440,0.329
9.404,0.366
9.366,0.405
9.327,0.446
9.285,0.488
9.242,0.533
9.197,0.579
9.150,0.626
9.102,0.676
9.052,0.727
9.000,0.779
8.946,0.834
8.891,0.890
8.835,0.947
8.777,1.006
8.718,1.066
8.657,1.128
8.594,1.191
8.531,1.256
8.466,1.321
8.400,1.388
8.332,1.457
8.263,1.526
8.194,1.597
8.123,1.668
8.051,1.741
7.978,1.815
7.904,1.890
7.829,1.965
7.753,2.042
7.677,2.119
7.599,2.197
7.521,2.276
7.442,2.355
7.363,2.436
7.283,2.516
