E_c,E_p
11.346,0.510
11.294,0.562
11.240,0.617
11.183,0.674
11.124,0.734
11.062,0.795
10.999,0.859
10.933,0.925
10.865,0.994
10.795,1.064
10.723,1.136
10.649,1.211
10.573,1.287
10.495,1.366
10.416,1.446
10.334,1.528
10.251,1.612
10.166,1.697
10.080,1.785
9.991,1.873
9.902,1.964
9.811,2.056
9.719,2.149
9.625,2.244
9.530,2.340
9.433,2.438
9.336,2.536
9.237,2.636
9.137,2.737
9.036,2.839
8.934,2.942
8.831,3.045
8.727,3.150
8.623,3.256
8.517,3.362
8.411,3.468
8.305,3.576
8.198,3.684
8.090,3.792
7.982,3.901
7.874,4.010
7.765,4.119
7.657,4.229
7.548,4.338
7.439,4.448
7.330,4.557
7.221,4.667
7.112,4.776
7.004,4.885
6.896,4.994
6.788,5.103
6.680,5.211
6.573,5.318
6.466,5.426
6.360,5.532
6.255,5.638
6.151,5.743
6.047,5.847
5.944,5.951
5.842,6.053
5.741,6.155
5.641,6.255
5.542,6.355
5.444,6.453
5.347,6.550
5.252,6.646
5.157,6.740
5.065,6.833
4.973,6.925
4.883,7.015
4.795,7.104
4.708,7.191
4.623,7.276
4.539,7.360
4.457,7.442
4.377,7.523
4.299,7.601
4.222,7.678
4.147,7.753
4.075,7.826
4.004,7.897
3.934,7.966
3.867,8.034
3.802,8.099
3.739,8.162
3.678,8.223
3.619,8.283
3.562,8.340
3.507,8.395
3.454,8.447
3.404,8.498
3.355,8.547
3.308,8.594
3.264,8.638
3.222,8.680
3.181,8.721
3.143,8.759
3.107,8.795
3.073,8.829
3.041,8.862
3.011,8.892
2.982,8.920
2.956,8.946
2.932,8.971
2.909,8.993
2.889,9.014
2.870,9.033
2.852,9.050
2.837,9.065
2.823,9.079
2.811,9.091
2.801,9.102
2.792,9.111
2.784,9.118
2.778,9.124
2.774,9.129
2.771,9.132
2.769,9.133
2.769,9.134
2.770,9.132
2.773,9.130
2.777,9.125
2.783,9.120
2.790,9.112
2.799,9.104
2.809,9.093
2.821,9.082
2.834,9.068
2.850,9.053
2.866,9.036
2.885,9.017
2.905,8.997
2.928,8.975
2.952,8.951
2.978,8.925
3.006,8.897
3.035,8.867
3.067,8.835
3.101,8.802
3.137,8.766
3.175,8.728
3.215,8.688
3.257,8.646
3.301,8.602
3.348,8.555
3.396,8.507
3.447,8.456
3.499,8.404
3.554,8.349
3.611,8.292
3.670,8.233
3.731,8.173
3.794,8.110
3.859,8.045
3.926,7.978
3.996,7.909
4.067,7.838
4.140,7.765
4.215,7.690
4.292,7.613
4.370,7.535
4.451,7.455
4.533,7.372
4.617,7.289
4.703,7.203
4.790,7.116
4.879,7.028
4.969,6.937
5.061,6.846
5.155,6.753
5.250,6.658
5.346,6.562
5.443,6.465
5.542,6.367
5.642,6.267
5.743,6.167
5.845,6.065
5.948,5.962
6.052,5.859
6.157,5.754
6.263,5.649
6.370,5.543
6.477,5.436
6.585,5.329
6.693,5.221
6.802,5.113
6.912,5.004
7.021,4.894
7.131,4.785
7.242,4.675
7.352,4.565
7.463,4.455
7.574,4.345
7.684,4.235
7.795,4.125
7.906,4.016
8.016,3.906
8.126,3.797
8.235,3.688
8.344,3.580
8.453,3.472
8.561,3.365
8.669,3.258
8.775,3.152
8.881,3.047
8.987,2.943
9.091,2.840
9.194,2.737
9.297,2.636
9.398,2.535
9.498,2.436
9.597,2.338
9.695,2.242
9.791,2.147
9.886,2.053
9.979,1.960
10.071,1.869
10.162,1.780
10.250,1.692
10.337,1.607
10.423,1.522
10.506,1.440
10.588,1.359
10.668,1.281
10.746,1.204
10.822,1.129
10.896,1.056
10.967,0.986
11.037,0.917
11.105,0.851
11.170,0.787
11.233,0.725
11.294,0.666
11.352,0.609
11.408,0.554
11.462,0.502
11.513,0.452
11.562,0.404
11.608,0.359
11.652,0.317
11.693,0.277
11.731,0.240
11.767,0.205
11.800,0.173
11.831,0.144
11.859,0.117
11.884,0.093
11.906,0.072
11.925,0.054
11.942,0.038
11.956,0.025
11.967,0.015
11.976,0.007
11.981,0.002
11.984,0.000
11.984,0.001
11.981,0.005
11.976,0.011
11.967,0.020
11.956,0.032
11.942,0.047
11.925,0.064
11.905,0.084
11.883,0.107
11.858,0.132
11.830,0.161
11.799,0.191
11.766,0.225
11.730,0.261
11.692,0.300
11.650,0.341
11.607,0.385
11.560,0.432
11.511,0.480
11.460,0.532
11.406,0.586
11.350,0.642
11.291,0.701
11.230,0.762
11.167,0.825
11.102,0.890
11.034,0.958
10.964,1.028
10.892,1.100
10.818,1.174
10.742,1.250
10.664,1.328
10.584,1.408
10.502,1.490
10.419,1.574
10.333,1.659
10.246,1.746
10.158,1.835
10.067,1.926
9.976,2.018
9.882,2.112
9.788,2.207
9.692,2.303
9.595,2.401
9.497,2.500
9.397,2.601
9.296,2.702
9.195,2.805
9.092,2.909
8.988,3.013
8.884,3.119
8.778,3.225
8.672,3.332
8.565,3.440
8.457,3.549
8.349,3.658
8.240,3.767
8.131,3.877
8.022,3.988
7.912,4.098
7.802,4.209
7.691,4.320
7.581,4.431
7.470,4.542
7.360,4.654
7.249,4.765
7.139,4.876
7.029,4.986
6.919,5.097
6.810,5.207
6.701,5.316
6.593,5.425
6.485,5.533
6.377,5.641
6.271,5.748
6.165,5.855
6.060,5.960
5.956,6.065
5.852,6.169
5.750,6.271
5.649,6.373
5.549,6.473
5.450,6.573
5.352,6.671
5.256,6.767
5.161,6.863
5.067,6.957
4.975,7.049
4.884,7.140
4.795,7.230
4.707,7.318
4.621,7.404
4.537,7.488
4.455,7.571
4.374,7.652
4.295,7.731
4.218,7.809
4.142,7.884
4.069,7.958
3.998,8.029
3.928,8.099
3.861,8.166
3.795,8.232
3.732,8.296
3.671,8.357
3.612,8.416
3.554,8.473
3.499,8.529
3.446,8.582
3.396,8.632
3.347,8.681
3.301,8.728
3.256,8.772
3.214,8.814
3.174,8.855
3.136,8.893
3.100,8.929
3.066,8.963
3.034,8.995
3.004,9.025
2.976,9.053
2.950,9.079
2.926,9.103
2.904,9.125
2.883,9.145
2.865,9.164
2.848,9.181
2.833,9.196
2.819,9.209
2.808,9.221
2.798,9.231
2.789,9.240
2.782,9.247
2.776,9.252
2.772,9.256
2.770,9.259
2.769,9.260
2.769,9.259
2.771,9.258
2.774,9.254
2.779,9.250
2.785,9.243
2.793,9.235
2.803,9.226
2.814,9.215
2.826,9.202
2.841,9.188
2.857,9.172
2.874,9.154
2.894,9.135
2.915,9.114
2.938,9.090
2.963,9.065
2.990,9.038
3.019,9.009
3.051,8.978
3.084,8.945
3.119,8.910
3.156,8.873
3.195,8.834
3.237,8.792
3.280,8.749
3.326,8.703
3.374,8.656
3.424,8.606
3.476,8.554
3.530,8.499
3.586,8.443
3.645,8.385
3.705,8.324
3.768,8.262
3.833,8.197
3.900,8.130
3.969,8.061
4.040,7.991
4.113,7.918
4.188,7.843
4.264,7.767
4.343,7.688
4.424,7.608
4.506,7.526
4.590,7.442
4.676,7.356
4.764,7.269
4.853,7.180
4.944,7.089
5.036,6.997
5.130,6.904
5.225,6.809
5.322,6.712
5.420,6.614
5.520,6.515
5.620,6.415
5.722,6.314
5.825,6.211
5.929,6.108
6.034,6.003
6.140,5.898
6.247,5.791
6.354,5.684
6.463,5.576
6.572,5.468
6.681,5.359
6.792,5.249
6.902,5.139
7.014,5.028
7.125,4.917
7.237,4.806
7.349,4.695
7.461,4.583
7.573,4.472
7.686,4.360
7.798,4.249
7.910,4.137
8.022,4.026
8.134,3.915
8.245,3.805
8.356,3.694
8.467,3.585
8.576,3.476
8.686,3.367
8.795,3.259
8.903,3.152
9.010,3.046
9.116,2.940
9.222,2.836
9.326,2.733
9.429,2.630
9.531,2.529
9.633,2.429
9.732,2.330
9.831,2.233
9.928,2.137
10.023,2.042
10.118,1.949
10.210,1.858
10.301,1.768
10.391,1.679
10.478,1.593
10.564,1.508
10.648,1.426
10.730,1.345
10.810,1.266
10.888,1.189
10.965,1.114
11.039,1.041
11.111,0.970
11.180,0.902
11.248,0.835
11.313,0.771
11.376,0.710
11.437,0.650
11.495,0.593
11.551,0.539
11.604,0.487
11.655,0.437
11.703,0.390
11.749,0.346
11.792,0.304
11.833,0.265
11.870,0.228
11.905,0.194
11.938,0.163
11.968,0.134
11.994,0.108
12.019,0.085
12.040,0.065
12.058,0.047
12.074,0.032
12.087,0.020
12.097,0.011
12.104,0.005
12.108,0.001
12.110,0.000
12.108,0.002
12.104,0.007
12.097,0.015
12.087,0.025
12.074,0.039
12.058,0.055
12.040,0.073
12.019,0.095
11.994,0.119
11.967,0.146
11.938,0.176
11.905,0.209
11.870,0.244
11.832,0.282
11.792,0.322
11.749,0.365
11.703,0.411
11.654,0.459
11.603,0.510
11.550,0.563
11.494,0.618
11.436,0.676
11.375,0.737
11.312,0.800
11.246,0.865
11.179,0.932
11.109,1.002
11.037,1.073
10.962,1.147
10.886,1.223
10.808,1.301
10.727,1.381
10.645,1.463
10.561,1.547
10.475,1.632
10.388,1.720
10.298,1.809
10.208,1.900
10.115,1.992
10.021,2.086
9.926,2.181
9.829,2.278
9.731,2.377
9.631,2.476
9.531,2.577
9.429,2.679
9.327,2.783
9.223,2.887
9.118,2.992
9.013,3.099
8.907,3.206
8.800,3.314
8.692,3.423
8.583,3.532
8.474,3.642
8.364,3.753
8.254,3.864
8.143,3.976
8.032,4.087
7.920,4.200
7.809,4.312
7.697,4.424
7.585,4.537
7.473,4.650
7.362,4.762
7.250,4.874
7.138,4.986
7.027,5.098
6.916,5.210
6.806,5.321
6.696,5.432
6.586,5.542
6.477,5.651
6.369,5.760
6.261,5.868
6.154,5.975
6.049,6.082
5.944,6.187
5.839,6.292
5.736,6.395
5.635,6.498
5.534,6.599
5.434,6.699
5.336,6.797
5.239,6.895
5.143,6.990
5.049,7.085
4.957,7.178
4.865,7.269
4.776,7.359
4.688,7.447
4.602,7.534
4.517,7.618
4.435,7.701
4.354,7.783
4.275,7.862
4.197,7.939
4.122,8.015
4.049,8.088
3.977,8.160
3.908,8.229
3.841,8.297
3.776,8.362
3.712,8.425
3.651,8.486
3.593,8.545
3.536,8.602
3.481,8.657
3.429,8.710
3.378,8.760
3.330,8.808
3.284,8.854
3.240,8.898
3.198,8.940
3.159,8.980
3.121,9.017
3.086,9.053
3.053,9.086
3.021,9.117
2.992,9.147
2.965,9.174
2.939,9.199
2.916,9.223
2.895,9.244
2.875,9.264
2.857,9.282
2.841,9.298
2.826,9.312
2.814,9.325
2.803,9.336
2.793,9.345
2.785,9.353
2.779,9.360
2.774,9.364
2.771,9.368
2.769,9.370
2.769,9.370
2.770,9.369
2.773,9.366
2.777,9.362
2.782,9.356
2.790,9.349
2.798,9.340
2.809,9.330
2.821,9.318
2.834,9.305
2.850,9.289
2.867,9.272
2.886,9.253
2.906,9.233
2.929,9.210
2.953,9.185
2.980,9.159
3.008,9.131
3.039,9.100
3.071,9.068
3.106,9.033
3.142,8.997
3.181,8.958
3.222,8.917
3.265,8.874
3.310,8.829
3.358,8.781
3.407,8.732
3.459,8.680
3.513,8.626
3.569,8.570
3.627,8.512
3.688,8.452
3.750,8.389
3.815,8.325
3.882,8.258
3.951,8.190
4.022,8.119
4.095,8.046
4.169,7.971
4.246,7.895
4.325,7.816
4.406,7.735
4.488,7.653
4.573,7.569
4.659,7.483
4.747,7.395
4.837,7.306
4.928,7.215
5.021,7.123
5.115,7.029
5.211,6.933
5.308,6.836
5.407,6.738
5.507,6.638
5.608,6.537
5.711,6.435
5.815,6.332
5.919,6.227
6.025,6.122
6.132,6.015
6.240,5.908
6.348,5.800
6.458,5.691
6.568,5.582
6.679,5.471
6.790,5.361
6.902,5.249
7.014,5.138
7.127,5.025
7.240,4.913
7.353,4.800
7.467,4.687
7.581,4.575
7.694,4.462
7.808,4.349
7.921,4.236
8.035,4.123
8.148,4.011
8.261,3.899
8.373,3.787
8.486,3.676
8.597,3.565
8.708,3.455
8.818,3.345
8.928,3.237
9.037,3.129
9.145,3.022
9.252,2.915
9.358,2.810
9.463,2.706
9.567,2.603
9.670,2.501
9.772,2.401
9.872,2.302
9.971,2.204
10.068,2.107
10.164,2.013
10.259,1.919
10.351,1.828
10.443,1.738
10.532,1.649
10.620,1.563
10.705,1.478
10.789,1.395
10.871,1.315
10.951,1.236
11.029,1.159
11.105,1.084
11.179,1.012
11.251,0.942
11.320,0.874
11.387,0.808
11.452,0.744
11.514,0.683
11.574,0.625
11.631,0.569
11.686,0.515
11.739,0.464
11.789,0.415
11.836,0.369
11.881,0.325
11.923,0.284
11.962,0.246
11.999,0.211
12.033,0.178
12.064,0.148
12.092,0.120
12.118,0.096
12.140,0.074
12.160,0.055
12.177,0.039
12.191,0.026
12.203,0.015
12.211,0.007
12.216,0.003
12.219,0.001
12.218,0.001
12.215,0.005
12.209,0.012
12.200,0.021
12.188,0.033
12.173,0.048
12.155,0.066
12.135,0.087
12.111,0.110
12.085,0.137
12.056,0.166
12.024,0.197
11.989,0.232
11.952,0.269
11.911,0.309
11.869,0.351
11.823,0.396
11.775,0.444
11.724,0.494
11.671,0.547
11.615,0.602
11.557,0.660
11.496,0.720
11.433,0.783
11.367,0.848
11.299,0.915
11.229,0.984
11.157,1.056
11.082,1.130
11.006,1.206
10.927,1.284
10.846,1.364
10.764,1.446
10.679,1.529
10.593,1.615
10.504,1.703
10.415,1.792
10.323,1.883
10.230,1.976
10.135,2.070
10.039,2.166
9.941,2.264
9.842,2.362
9.742,2.463
9.640,2.564
9.538,2.667
9.434,2.771
9.329,2.876
9.223,2.982
9.117,3.089
9.010,3.197
8.901,3.305
8.793,3.415
8.683,3.525
8.573,3.636
8.462,3.748
8.351,3.860
8.239,3.973
8.127,4.085
8.015,4.199
7.902,4.312
7.789,4.426
7.676,4.539
7.563,4.653
7.450,4.767
7.337,4.880
7.225,4.994
7.112,5.107
7.000,5.220
6.888,5.332
6.777,5.444
6.666,5.556
6.555,5.667
6.446,5.777
6.337,5.886
6.229,5.995
6.121,6.103
6.015,6.210
5.909,6.316
5.805,6.421
5.701,6.524
5.599,6.627
5.498,6.729
5.398,6.829
5.300,6.928
5.203,7.025
5.107,7.121
5.013,7.216
4.920,7.308
4.829,7.400
4.740,7.490
4.652,7.578
4.566,7.664
4.482,7.748
4.399,7.831
4.318,7.912
4.240,7.991
4.163,8.068
4.088,8.143
4.015,8.216
3.945,8.287
3.876,8.356
3.809,8.422
3.745,8.487
3.682,8.550
3.622,8.610
3.564,8.668
3.508,8.724
3.454,8.778
3.402,8.830
3.353,8.880
3.305,8.927
3.260,8.972
3.217,9.015
3.176,9.056
3.138,9.095
3.101,9.131
3.067,9.166
3.035,9.198
3.004,9.228
2.976,9.257
2.950,9.283
2.925,9.307
2.903,9.330
2.882,9.350
2.864,9.369
2.847,9.386
2.832,9.401
2.818,9.414
2.807,9.426
2.797,9.436
2.788,9.445
2.781,9.452
2.776,9.457
2.772,9.461
2.770,9.463
2.769,9.464
2.769,9.463
2.772,9.461
2.775,9.457
2.780,9.452
2.787,9.446
2.795,9.437
2.805,9.427
2.817,9.416
2.830,9.403
2.845,9.388
2.862,9.371
2.880,9.353
2.900,9.332
2.923,9.310
2.947,9.286
2.973,9.260
3.001,9.232
3.031,9.202
3.063,9.170
3.097,9.136
3.134,9.099
3.172,9.061
3.213,9.020
3.256,8.977
3.301,8.933
3.348,8.885
3.397,8.836
3.449,8.785
3.503,8.731
3.559,8.675
3.617,8.617
3.677,8.557
3.740,8.494
3.804,8.430
3.871,8.363
3.940,8.294
4.011,8.223
4.084,8.150
4.159,8.076
4.236,7.999
4.315,7.920
4.396,7.839
4.479,7.756
4.564,7.672
4.650,7.586
4.739,7.498
4.829,7.408
4.920,7.316
5.014,7.223
5.109,7.129
5.205,7.033
5.303,6.935
5.402,6.836
5.503,6.736
5.605,6.634
5.708,6.531
5.813,6.427
5.918,6.322
6.025,6.216
6.132,6.109
6.241,6.001
6.351,5.892
6.461,5.782
6.572,5.672
6.684,5.560
6.796,5.449
6.909,5.336
7.022,5.223
7.136,5.110
7.250,4.997
7.365,4.883
7.479,4.769
7.594,4.655
7.709,4.541
7.824,4.427
7.939,4.313
8.053,4.199
8.168,4.085
8.282,3.972
8.396,3.859
8.509,3.746
8.622,3.634
8.734,3.523
8.846,3.412
8.957,3.302
9.067,3.192
9.177,3.084
9.285,2.976
9.393,2.870
9.499,2.764
9.604,2.660
9.709,2.557
9.812,2.455
9.913,2.354
10.014,2.255
10.112,2.157
10.210,2.061
10.306,1.966
10.400,1.873
10.493,1.782
10.583,1.692
10.673,1.604
10.760,1.518
10.845,1.434
10.929,1.352
11.010,1.271
11.089,1.193
11.167,1.117
11.242,1.043
11.315,0.972
11.385,0.902
11.454,0.835
11.520,0.770
11.584,0.708
11.645,0.648
11.704,0.590
11.760,0.535
11.814,0.483
11.865,0.433
11.913,0.386
11.959,0.341
12.002,0.299
12.043,0.260
12.081,0.223
12.116,0.189
12.148,0.158
12.177,0.129
12.204,0.104
12.227,0.081
12.248,0.061
12.266,0.044
12.281,0.029
12.293,0.018
12.302,0.009
12.308,0.004
12.311,0.001
12.312,0.001
12.309,0.004
12.303,0.010
12.295,0.018
12.283,0.030
12.269,0.044
12.252,0.062
12.232,0.082
12.208,0.105
12.183,0.130
12.154,0.159
12.122,0.190
12.088,0.224
12.050,0.261
12.010,0.300
11.968,0.343
11.922,0.387
11.874,0.435
11.824,0.485
11.770,0.537
11.714,0.593
11.656,0.650
11.595,0.710
11.532,0.773
11.466,0.837
11.398,0.905
11.327,0.974
11.255,1.046
11.180,1.120
11.103,1.196
11.023,1.274
10.942,1.354
10.859,1.436
10.774,1.521
10.687,1.607
10.598,1.695
10.507,1.784
10.415,1.876
10.321,1.969
10.225,2.064
10.128,2.160
10.030,2.258
9.930,2.357
9.829,2.458
9.726,2.560
9.623,2.663
9.518,2.767
9.412,2.873
9.306,2.980
9.198,3.087
9.090,3.196
8.981,3.305
8.871,3.416
8.760,3.527
8.649,3.639
8.538,3.751
8.426,3.864
8.313,3.977
8.200,4.091
8.087,4.205
7.973,4.319
7.859,4.434
7.745,4.549
7.631,4.663
7.517,4.778
7.404,4.893
7.290,5.007
7.176,5.121
7.063,5.235
6.950,5.349
6.838,5.462
6.726,5.574
6.614,5.686
6.503,5.798
6.393,5.908
6.284,6.018
6.175,6.127
6.068,6.235
5.961,6.342
5.855,6.448
5.751,6.553
5.647,6.657
5.545,6.760
5.444,6.861
5.345,6.961
5.246,7.060
5.149,7.157
5.054,7.253
4.960,7.347
4.868,7.439
4.777,7.530
4.688,7.620
4.601,7.707
4.516,7.793
4.432,7.877
4.350,7.959
4.271,8.039
4.193,8.117
4.117,8.193
4.043,8.267
3.971,8.339
3.901,8.409
3.833,8.477
3.768,8.543
3.704,8.606
3.643,8.668
3.583,8.727
3.526,8.784
3.472,8.839
3.419,8.892
3.369,8.942
3.320,8.991
3.274,9.037
3.231,9.080
3.189,9.122
3.149,9.162
3.112,9.199
3.077,9.234
3.044,9.267
3.013,9.298
2.984,9.327
2.957,9.354
2.932,9.379
2.909,9.402
2.888,9.423
2.869,9.443
2.851,9.460
2.836,9.476
2.822,9.490
2.809,9.502
2.799,9.512
2.790,9.521
2.783,9.529
2.777,9.534
2.773,9.539
2.770,9.541
2.769,9.543
2.769,9.542
2.771,9.540
2.774,9.537
2.779,9.532
2.786,9.526
2.794,9.518
2.803,9.508
2.815,9.497
2.827,9.484
2.842,9.469
2.859,9.453
2.877,9.435
2.897,9.414
2.919,9.393
2.943,9.369
2.969,9.343
2.997,9.315
3.026,9.285
3.058,9.253
3.093,9.219
3.129,9.183
3.167,9.144
3.208,9.104
3.250,9.061
3.295,9.016
3.343,8.969
3.392,8.920
3.444,8.868
3.497,8.815
3.553,8.759
3.612,8.701
3.672,8.640
3.735,8.578
3.800,8.513
3.867,8.446
3.936,8.377
4.007,8.306
4.080,8.233
4.156,8.158
4.233,8.081
4.312,8.002
4.394,7.920
4.477,7.837
4.562,7.753
4.649,7.666
4.738,7.577
4.828,7.487
4.920,7.395
5.014,7.302
5.109,7.207
5.206,7.110
5.305,7.012
5.405,6.912
5.506,6.811
5.609,6.709
5.713,6.606
5.818,6.501
5.924,6.395
6.031,6.288
6.140,6.180
6.249,6.071
6.359,5.962
6.470,5.851
6.582,5.740
6.695,5.628
6.808,5.515
6.922,5.402
7.036,5.288
7.151,5.174
7.266,5.060
7.381,4.945
7.497,4.830
7.613,4.715
7.729,4.600
7.844,4.485
7.960,4.370
8.076,4.255
8.191,4.140
8.306,4.026
8.421,3.912
8.536,3.798
8.650,3.685
8.763,3.573
8.876,3.461
8.988,3.349
9.099,3.239
9.210,3.129
9.319,3.021
9.428,2.913
9.536,2.807
9.642,2.701
9.747,2.597
9.851,2.494
9.954,2.392
10.056,2.292
10.156,2.193
10.254,2.095
10.351,2.000
10.446,1.905
10.540,1.813
10.632,1.722
10.722,1.633
10.811,1.546
10.897,1.461
10.982,1.377
11.064,1.296
11.144,1.217
11.223,1.140
11.299,1.065
11.373,0.992
11.445,0.922
11.514,0.854
11.581,0.788
11.646,0.725
11.708,0.664
11.768,0.605
11.825,0.549
11.879,0.496
11.931,0.445
11.981,0.397
12.027,0.352
12.071,0.309
12.113,0.268
12.151,0.231
12.187,0.196
12.220,0.164
12.250,0.135
12.277,0.109
12.301,0.085
12.322,0.065
12.341,0.047
12.356,0.032
12.369,0.020
12.378,0.011
12.385,0.005
12.389,0.001
12.389,0.001
12.387,0.003
12.382,0.009
12.374,0.017
12.362,0.028
12.348,0.042
12.331,0.059
12.311,0.079
12.288,0.102
12.262,0.127
12.234,0.155
12.202,0.186
12.168,0.220
12.130,0.257
12.090,0.296
12.048,0.338
12.002,0.383
11.954,0.430
11.903,0.480
11.849,0.533
11.793,0.588
11.735,0.646
11.673,0.706
11.610,0.768
11.544,0.833
11.475,0.901
11.404,0.970
11.331,1.042
11.256,1.116
11.178,1.193
11.099,1.271
11.017,1.352
10.933,1.434
10.847,1.519
10.760,1.605
10.670,1.694
10.579,1.784
10.486,1.875
10.391,1.969
10.295,2.064
10.197,2.161
10.098,2.259
9.997,2.359
9.895,2.460
9.792,2.563
9.687,2.666
9.582,2.771
9.475,2.878
9.368,2.985
9.259,3.093
9.150,3.202
9.040,3.312
8.929,3.423
8.817,3.535
8.705,3.647
8.593,3.760
8.480,3.874
8.367,3.988
8.253,4.103
8.139,4.218
8.024,4.333
7.910,4.448
7.795,4.564
7.680,4.679
7.566,4.795
7.451,4.910
7.336,5.025
7.222,5.140
7.108,5.255
6.994,5.369
6.881,5.483
6.768,5.597
6.656,5.710
6.544,5.822
6.433,5.933
6.323,6.044
6.213,6.154
6.105,6.263
5.997,6.371
5.891,6.478
5.785,6.584
5.681,6.689
5.578,6.792
5.476,6.894
5.375,6.995
5.276,7.095
5.178,7.193
5.082,7.289
4.987,7.385
4.894,7.478
4.803,7.570
4.713,7.660
4.625,7.748
4.539,7.835
4.454,7.919
4.372,8.002
4.291,8.083
4.212,8.162
4.135,8.239
4.061,8.314
3.988,8.387
3.917,8.457
3.849,8.526
3.782,8.593
3.718,8.657
3.656,8.719
3.596,8.779
3.539,8.837
3.483,8.892
3.430,8.946
3.379,8.997
3.330,9.046
3.283,9.093
3.239,9.137
3.197,9.179
3.157,9.219
3.119,9.257
3.083,9.293
3.049,9.327
3.018,9.358
2.989,9.388
2.961,9.415
2.936,9.440
2.912,9.464
2.891,9.485
2.871,9.505
2.854,9.523
2.838,9.538
2.823,9.553
2.811,9.565
2.800,9.576
2.791,9.585
2.783,9.593
2.778,9.599
2.773,9.603
2.770,9.606
2.769,9.607
2.769,9.607
2.771,9.606
2.774,9.602
2.779,9.598
2.785,9.591
2.793,9.583
2.802,9.574
2.813,9.563
2.826,9.550
2.841,9.535
2.857,9.519
2.875,9.501
2.895,9.481
2.917,9.459
2.941,9.435
2.967,9.409
2.995,9.381
3.025,9.352
3.057,9.320
3.091,9.285
3.127,9.249
3.166,9.211
3.206,9.170
3.249,9.127
3.294,9.083
3.341,9.035
3.391,8.986
3.443,8.934
3.497,8.880
3.553,8.824
3.611,8.766
3.672,8.705
3.735,8.642
3.800,8.578
3.867,8.510
3.937,8.441
4.008,8.370
4.082,8.296
4.157,8.221
4.235,8.143
4.315,8.064
4.397,7.982
4.480,7.899
4.566,7.814
4.653,7.726
4.742,7.637
4.833,7.547
4.926,7.454
5.020,7.360
5.116,7.265
5.214,7.168
5.313,7.069
5.413,6.969
5.515,6.867
5.618,6.764
5.723,6.660
5.829,6.555
5.936,6.448
6.044,6.341
6.153,6.232
6.263,6.123
6.374,6.012
6.486,5.901
6.598,5.789
6.711,5.676
6.825,5.563
6.940,5.449
7.055,5.334
7.170,5.219
7.286,5.104
7.402,4.989
7.519,4.873
7.635,4.757
7.752,4.641
7.869,4.525
7.985,4.409
8.102,4.294
8.218,4.178
8.334,4.063
8.450,3.948
8.565,3.834
8.680,3.720
8.794,3.606
8.908,3.494
9.021,3.382
9.133,3.270
9.244,3.160
9.355,3.051
9.464,2.942
9.572,2.835
9.680,2.728
9.786,2.623
9.891,2.519
9.995,2.417
10.097,2.316
10.198,2.216
10.297,2.118
10.395,2.021
10.491,1.926
10.585,1.833
10.678,1.741
10.769,1.651
10.858,1.564
10.945,1.478
11.031,1.394
11.114,1.312
11.195,1.232
11.274,1.154
11.351,1.078
11.425,1.005
11.498,0.934
11.568,0.865
11.636,0.799
11.701,0.735
11.764,0.673
11.824,0.614
11.882,0.558
11.937,0.504
11.989,0.452
12.039,0.404
12.087,0.357
12.131,0.314
12.173,0.273
12.212,0.235
12.248,0.200
12.281,0.168
12.311,0.138
12.339,0.112
12.363,0.088
12.385,0.067
12.404,0.049
12.419,0.033
12.432,0.021
12.442,0.012
12.449,0.005
12.452,0.002
12.453,0.001
12.451,0.003
12.446,0.008
12.438,0.017
12.427,0.028
12.412,0.042
12.395,0.058
12.375,0.078
12.352,0.101
12.326,0.126
12.298,0.154
12.266,0.185
12.231,0.219
12.194,0.256
12.154,0.295
12.111,0.338
12.065,0.382
12.016,0.430
11.965,0.480
11.911,0.533
11.855,0.588
11.796,0.646
11.734,0.706
11.670,0.769
11.603,0.834
11.534,0.902
11.463,0.972
11.390,1.044
11.314,1.119
11.236,1.195
11.155,1.274
11.073,1.355
10.989,1.438
10.902,1.523
10.814,1.610
10.724,1.698
10.632,1.789
10.538,1.881
10.443,1.975
10.346,2.071
10.247,2.168
10.147,2.267
10.046,2.367
9.943,2.469
9.839,2.572
9.734,2.676
9.627,2.782
9.520,2.888
9.412,2.996
9.302,3.105
9.192,3.215
9.081,3.325
8.969,3.437
8.857,3.549
8.744,3.662
8.631,3.776
8.517,3.890
8.403,4.005
8.289,4.120
8.174,4.235
8.059,4.351
7.944,4.467
7.828,4.583
7.713,4.699
7.597,4.815
7.482,4.932
7.367,5.047
7.252,5.163
7.137,5.279
7.023,5.394
6.909,5.508
6.795,5.622
6.682,5.736
6.570,5.849
6.458,5.961
6.347,6.072
6.237,6.183
6.128,6.292
6.020,6.401
5.913,6.509
5.806,6.615
5.701,6.721
5.598,6.825
5.495,6.928
5.394,7.029
5.294,7.130
5.196,7.228
5.099,7.326
5.004,7.421
4.910,7.515
4.818,7.608
4.727,7.698
4.639,7.787
4.552,7.874
4.467,7.959
4.384,8.043
4.302,8.124
4.223,8.204
4.146,8.281
4.071,8.357
3.997,8.430
3.926,8.501
3.857,8.570
3.790,8.637
3.726,8.702
3.663,8.765
3.603,8.825
3.545,8.883
3.489,8.939
3.435,8.993
3.384,9.045
3.335,9.094
3.288,9.141
3.243,9.186
3.200,9.228
3.160,9.269
3.122,9.307
3.086,9.343
3.052,9.377
3.020,9.409
2.991,9.438
2.963,9.466
2.937,9.491
2.914,9.515
2.892,9.537
2.872,9.557
2.855,9.574
2.838,9.591
