Symplectic Euler,,
E_c,E_p,E_m
30.661,6.910,37.570
29.891,7.666,37.557
29.095,8.449,37.544
28.276,9.257,37.533
27.437,10.086,37.523
26.579,10.935,37.514
25.706,11.800,37.507
24.821,12.680,37.501
23.925,13.571,37.496
23.023,14.470,37.493
22.115,15.376,37.491
21.206,16.284,37.490
20.298,17.193,37.491
19.394,18.100,37.493
18.496,19.001,37.497
17.607,19.895,37.502
16.729,20.778,37.508
15.866,21.649,37.515
15.020,22.504,37.524
14.192,23.341,37.534
13.386,24.158,37.545
12.604,24.953,37.557
11.847,25.722,37.570
11.118,26.466,37.584
10.419,27.180,37.599
9.750,27.864,37.615
9.115,28.517,37.631
8.513,29.135,37.648
7.946,29.720,37.666
7.416,30.268,37.684
6.922,30.780,37.703
6.466,31.255,37.721
6.047,31.693,37.740
5.666,32.093,37.759
5.323,32.455,37.777
5.016,32.780,37.796
4.746,33.068,37.814
4.510,33.321,37.831
4.309,33.539,37.848
4.141,33.723,37.864
4.005,33.875,37.880
3.899,33.996,37.895
3.821,34.088,37.909
3.773,34.150,37.923
3.751,34.186,37.937
3.757,34.193,37.950
3.790,34.174,37.964
3.851,34.127,37.978
3.940,34.052,37.992
4.059,33.948,38.007
4.209,33.814,38.023
4.391,33.649,38.039
4.606,33.450,38.056
4.856,33.218,38.074
5.142,32.950,38.092
5.464,32.646,38.110
5.824,32.305,38.129
6.221,31.927,38.148
6.655,31.512,38.167
7.127,31.058,38.185
7.637,30.567,38.204
8.183,30.040,38.222
8.764,29.476,38.240
9.381,28.877,38.257
10.030,28.243,38.274
10.712,27.577,38.290
11.425,26.880,38.305
12.166,26.153,38.319
12.933,25.399,38.332
13.726,24.618,38.344
14.541,23.814,38.355
15.377,22.988,38.365
16.231,22.143,38.374
17.101,21.281,38.381
17.983,20.405,38.388
18.876,19.516,38.393
19.777,18.619,38.396
20.684,17.715,38.399
21.592,16.807,38.399
22.501,15.898,38.399
23.407,14.990,38.397
24.307,14.087,38.394
25.198,13.191,38.389
26.079,12.305,38.384
26.945,11.431,38.376
27.796,10.572,38.368
28.627,9.731,38.358
29.436,8.911,38.347
30.221,8.113,38.334
30.979,7.341,38.321
31.709,6.597,38.306
32.407,5.883,38.290
33.072,5.201,38.273
33.702,4.553,38.255
34.294,3.942,38.236
34.847,3.369,38.216
35.359,2.837,38.196
35.828,2.346,38.174
36.254,1.898,38.152
36.634,1.495,38.129
36.967,1.138,38.106
37.253,0.829,38.082
37.491,0.567,38.058
37.679,0.354,38.033
37.817,0.190,38.008
37.906,0.077,37.983
