Symplectic Euler,,
E_c,E_p,E_m
23.093,15.305,38.398
23.995,14.400,38.395
24.890,13.501,38.391
25.775,12.611,38.386
26.646,11.732,38.379
27.503,10.868,38.371
28.341,10.021,38.361
29.158,9.193,38.351
29.951,8.387,38.339
30.719,7.606,38.326
31.459,6.852,38.311
32.169,6.127,38.296
32.846,5.433,38.279
33.488,4.774,38.261
34.093,4.150,38.243
34.660,3.563,38.223
35.186,3.017,38.203
35.671,2.511,38.182
36.111,2.048,38.160
36.507,1.630,38.137
36.857,1.257,38.114
37.160,0.931,38.090
37.414,0.652,38.066
37.619,0.422,38.041
37.775,0.241,38.017
37.881,0.111,37.991
37.936,0.030,37.966
37.941,0.000,37.941
37.895,0.021,37.916
37.798,0.092,37.890
37.652,0.214,37.865
37.455,0.385,37.841
37.210,0.606,37.816
36.916,0.876,37.792
36.575,1.193,37.768
36.188,1.558,37.745
35.755,1.968,37.723
35.279,2.423,37.701
34.760,2.920,37.680
34.200,3.460,37.660
33.602,4.039,37.641
32.967,4.656,37.623
32.296,5.309,37.605
31.592,5.997,37.589
30.858,6.716,37.574
30.095,7.465,37.560
29.306,8.242,37.547
28.493,9.043,37.536
27.658,9.867,37.525
26.805,10.711,37.516
25.936,11.572,37.509
25.054,12.448,37.502
24.161,13.336,37.497
23.260,14.234,37.493
22.353,15.138,37.491
21.444,16.046,37.490
20.536,16.955,37.491
19.630,17.862,37.493
18.730,18.766,37.496
17.839,19.662,37.500
16.958,20.548,37.506
16.091,21.422,37.513
15.240,22.282,37.521
14.407,23.124,37.531
13.595,23.946,37.542
12.807,24.747,37.553
12.043,25.523,37.566
11.307,26.274,37.580
10.599,26.996,37.595
9.922,27.688,37.610
9.278,28.349,37.627
8.667,28.977,37.644
8.091,29.570,37.661
7.551,30.128,37.679
7.048,30.650,37.698
6.582,31.134,37.716
6.153,31.582,37.735
5.762,31.991,37.754
5.409,32.363,37.772
5.093,32.698,37.791
4.813,32.996,37.809
4.569,33.258,37.827
4.359,33.485,37.844
4.182,33.678,37.860
4.038,33.838,37.876
3.924,33.967,37.891
3.839,34.066,37.905
3.783,34.137,37.919
3.754,34.179,37.933
3.753,34.194,37.947
3.779,34.182,37.960
3.832,34.142,37.974
3.914,34.075,37.988
4.025,33.978,38.003
4.166,33.852,38.019
4.340,33.695,38.035
4.546,33.505,38.052
4.787,33.282,38.069
5.063,33.024,38.087
5.376,32.729,38.105
5.726,32.398,38.124
6.113,32.030,38.143
6.538,31.624,38.162
7.000,31.180,38.180
7.500,30.699,38.199
8.036,30.181,38.217
8.608,29.627,38.235
9.216,29.037,38.253
9.857,28.413,38.269
10.531,27.755,38.286
11.235,27.066,38.301
11.969,26.346,38.315
12.730,25.599,38.329
13.516,24.825,38.341
14.326,24.027,38.352
15.156,23.206,38.363
16.006,22.366,38.372
16.871,21.508,38.380
17.751,20.635,38.386
18.641,19.750,38.391
19.541,18.855,38.395
20.446,17.952,38.398
21.354,17.045,38.399
22.263,16.136,38.399
23.170,15.228,38.398
24.072,14.323,38.395
24.966,13.425,38.391
25.849,12.536,38.385
26.720,11.658,38.378
27.575,10.796,38.370
28.411,9.950,38.361
29.226,9.124,38.350
30.018,8.320,38.338
30.783,7.541,38.324
31.521,6.789,38.310
32.228,6.067,38.294
32.902,5.376,38.278
33.541,4.719,38.260
34.143,4.098,38.241
34.706,3.515,38.222
35.229,2.972,38.201
35.710,2.470,38.180
36.147,2.011,38.158
36.539,1.596,38.135
36.885,1.227,38.112
37.183,0.905,38.088
37.433,0.631,38.064
37.634,0.405,38.039
37.786,0.228,38.014
37.887,0.102,37.989
37.938,0.026,37.964
37.939,0.000,37.939
37.888,0.025,37.913
37.788,0.100,37.888
37.637,0.226,37.863
37.436,0.402,37.838
37.187,0.627,37.814
36.889,0.901,37.790
36.544,1.222,37.766
36.153,1.591,37.743
35.716,2.005,37.721
35.236,2.463,37.699
34.714,2.965,37.679
34.151,3.507,37.658
33.549,4.090,37.639
32.911,4.710,37.621
32.237,5.366,37.604
31.531,6.057,37.588
30.794,6.779,37.573
30.029,7.530,37.559
29.237,8.309,37.546
28.422,9.112,37.535
27.587,9.938,37.524
26.732,10.783,37.515
25.862,11.646,37.508
24.978,12.523,37.502
24.084,13.412,37.497
23.183,14.310,37.493
22.276,15.215,37.491
21.367,16.123,37.490
20.459,17.032,37.491
19.553,17.939,37.493
18.654,18.842,37.496
17.763,19.737,37.501
16.884,20.623,37.507
16.018,21.496,37.514
15.168,22.354,37.522
14.337,23.194,37.532
13.527,24.015,37.543
12.741,24.814,37.554
11.979,25.588,37.567
11.245,26.336,37.581
10.540,27.056,37.596
9.866,27.745,37.612
9.225,28.403,37.628
8.617,29.028,37.645
8.044,29.619,37.663
7.507,30.174,37.681
7.007,30.692,37.699
6.544,31.174,37.718
6.119,31.618,37.737
5.731,32.024,37.755
5.381,32.393,37.774
5.068,32.725,37.792
4.791,33.020,37.810
4.549,33.278,37.828
4.343,33.502,37.845
4.169,33.693,37.861
4.027,33.850,37.877
3.915,33.977,37.892
3.833,34.073,37.906
3.779,34.141,37.920
3.753,34.181,37.934
3.754,34.194,37.948
3.782,34.179,37.961
3.838,34.137,37.975
3.922,34.068,37.990
4.036,33.969,38.005
4.180,33.840,38.020
4.356,33.680,38.036
4.565,33.488,38.053
4.809,33.261,38.071
5.089,33.000,38.089
5.404,32.703,38.107
5.757,32.368,38.126
6.147,31.997,38.144
6.575,31.588,38.163
7.041,31.141,38.182
7.544,30.657,38.201
8.083,30.136,38.219
8.659,29.578,38.237
9.269,28.985,38.254
9.913,28.358,38.271
10.589,27.698,38.287
11.296,27.006,38.302
12.032,26.284,38.316
12.796,25.534,38.330
13.584,24.758,38.342
14.396,23.958,38.353
15.228,23.136,38.363
16.079,22.294,38.372
16.946,21.435,38.380
17.826,20.561,38.387
18.717,19.674,38.392
19.617,18.778,38.396
20.523,17.875,38.398
21.431,16.968,38.399
22.340,16.059,38.399
23.247,15.151,38.398
24.148,14.247,38.395
25.041,13.349,38.390
25.924,12.461,38.385
26.793,11.585,38.378
27.646,10.723,38.369
28.481,9.879,38.360
29.294,9.055,38.349
30.084,8.253,38.337
30.847,7.476,38.323
31.582,6.727,38.309
32.286,6.007,38.293
32.957,5.319,38.276
33.593,4.665,38.258
34.192,4.047,38.240
34.752,3.468,38.220
35.271,2.928,38.199
35.748,2.430,38.178
36.182,1.974,38.156
36.570,1.563,38.133
36.912,1.198,38.110
37.206,0.880,38.086
37.452,0.610,38.062
37.649,0.388,38.037
37.797,0.216,38.012
37.894,0.093,37.987
37.940,0.022,37.962
37.936,0.000,37.937
37.882,0.029,37.911
37.777,0.109,37.886
37.622,0.239,37.861
37.417,0.419,37.836
37.163,0.648,37.812
36.862,0.926,37.788
36.512,1.252,37.764
36.117,1.624,37.742
35.677,2.042,37.719
35.193,2.504,37.698
34.668,3.009,37.677
34.101,3.555,37.657
33.497,4.141,37.638
32.855,4.765,37.620
32.179,5.424,37.602
31.470,6.117,37.586
30.730,6.841,37.571
29.963,7.595,37.558
29.169,8.376,37.545
28.352,9.181,37.534
27.515,10.009,37.524
26.659,10.856,37.515
25.787,11.720,37.507
24.903,12.598,37.501
24.008,13.488,37.496
23.106,14.387,37.493
22.199,15.292,37.491
21.290,16.200,37.490
20.382,17.109,37.491
19.477,18.016,37.493
18.578,18.918,37.496
17.688,19.813,37.501
16.810,20.697,37.507
15.945,21.569,37.514
15.097,22.426,37.523
14.268,23.265,37.533
13.460,24.084,37.544
12.675,24.880,37.555
11.916,25.653,37.568
11.184,26.398,37.582
10.482,27.115,37.597
9.811,27.803,37.613
9.172,28.458,37.629
8.567,29.080,37.647
7.997,29.667,37.664
7.463,30.219,37.682
6.966,30.735,37.701
6.506,31.213,37.719
6.084,31.654,37.738
5.700,32.057,37.757
5.353,32.423,37.776
5.043,32.751,37.794
4.769,33.043,37.812
4.531,33.299,37.829
4.326,33.520,37.846
4.155,33.707,37.863
4.016,33.862,37.878
3.907,33.986,37.893
3.827,34.080,37.908
3.776,34.146,37.922
3.752,34.183,37.935
3.755,34.194,37.949
3.786,34.177,37.963
3.844,34.133,37.976
3.931,34.060,37.991
4.047,33.959,38.006
4.194,33.828,38.021
4.373,33.665,38.038
4.585,33.470,38.055
4.832,33.240,38.072
5.114,32.976,38.090
5.433,32.676,38.108
5.789,32.338,38.127
6.182,31.964,38.146
6.614,31.551,38.165
7.082,31.101,38.184
7.588,30.614,38.202
8.131,30.090,38.220
8.709,29.529,38.238
9.322,28.933,38.256
9.969,28.303,38.272
10.648,27.640,38.288
11.358,26.946,38.303
12.096,26.221,38.317
12.862,25.469,38.331
13.652,24.691,38.343
14.465,23.889,38.354
15.299,23.065,38.364
16.152,22.221,38.373
17.020,21.361,38.381
17.901,20.486,38.387
18.794,19.599,38.392
19.694,18.702,38.396
20.600,17.798,38.398
21.509,16.891,38.399
22.417,15.982,38.399
23.323,15.074,38.397
24.224,14.170,38.394
25.117,13.273,38.390
25.998,12.386,38.384
26.866,11.511,38.377
27.718,10.651,38.368
28.551,9.808,38.359
29.362,8.986,38.348
30.150,8.186,38.335
30.911,7.411,38.322
31.643,6.664,38.307
32.344,5.947,38.291
33.013,5.262,38.275
33.646,4.611,38.257
34.241,3.997,38.238
34.798,3.420,38.218
35.314,2.884,38.198
35.787,2.389,38.176
36.216,1.938,38.154
36.601,1.530,38.131
36.939,1.169,38.108
37.229,0.855,38.084
37.471,0.589,38.060
37.664,0.371,38.035
37.807,0.203,38.010
37.900,0.085,37.985
37.942,0.018,37.960
37.934,0.001,37.934
37.875,0.034,37.909
37.766,0.118,37.884
37.606,0.253,37.859
37.397,0.437,37.834
37.140,0.670,37.810
36.834,0.952,37.786
36.481,1.282,37.762
36.082,1.658,37.740
35.638,2.080,37.717
35.150,2.546,37.696
34.621,3.054,37.675
34.051,3.604,37.655
33.443,4.193,37.636
32.799,4.819,37.618
32.120,5.481,37.601
31.408,6.177,37.585
30.666,6.904,37.570
29.896,7.660,37.556
29.101,8.443,37.544
28.282,9.251,37.533
27.443,10.080,37.523
26.585,10.929,37.514
25.713,11.794,37.507
24.827,12.674,37.501
23.932,13.564,37.496
23.029,14.464,37.493
22.122,15.369,37.491
21.213,16.278,37.490
20.305,17.186,37.491
19.400,18.093,37.493
18.502,18.995,37.497
17.613,19.889,37.502
16.736,20.772,37.508
15.872,21.643,37.515
15.026,22.498,37.524
14.198,23.335,37.534
13.392,24.152,37.545
12.610,24.947,37.557
11.853,25.717,37.570
11.123,26.460,37.584
10.424,27.175,37.599
9.755,27.859,37.614
9.119,28.512,37.631
8.517,29.131,37.648
7.950,29.716,37.666
7.419,30.264,37.684
6.926,30.777,37.702
6.469,31.252,37.721
6.050,31.690,37.740
5.669,32.090,37.759
5.325,32.452,37.777
5.018,32.777,37.795
4.747,33.066,37.813
4.512,33.319,37.831
4.311,33.537,37.848
4.142,33.722,37.864
4.006,33.874,37.880
3.899,33.995,37.894
3.822,34.087,37.909
3.773,34.150,37.923
3.751,34.185,37.936
3.757,34.193,37.950
3.790,34.174,37.964
3.850,34.128,37.978
3.939,34.053,37.992
4.058,33.949,38.007
4.208,33.815,38.023
4.389,33.650,38.039
4.604,33.452,38.056
4.854,33.219,38.074
5.140,32.952,38.092
5.462,32.648,38.110
5.821,32.308,38.129
6.218,31.930,38.148
6.652,31.515,38.166
7.124,31.061,38.185
7.633,30.571,38.204
8.179,30.043,38.222
8.760,29.480,38.240
9.376,28.881,38.257
10.026,28.248,38.274
10.707,27.582,38.289
11.419,26.885,38.304
12.160,26.159,38.319
12.928,25.404,38.332
13.720,24.624,38.344
14.536,23.820,38.355
15.371,22.994,38.365
16.225,22.149,38.374
17.094,21.287,38.381
17.977,20.411,38.388
18.870,19.523,38.392
19.771,18.625,38.396
20.677,17.721,38.398
21.586,16.813,38.399
22.495,15.904,38.399
23.400,14.997,38.397
24.300,14.094,38.394
25.192,13.197,38.389
26.072,12.311,38.384
26.939,11.437,38.376
27.789,10.578,38.368
28.621,9.737,38.358
29.430,8.917,38.347
30.215,8.119,38.334
30.974,7.347,38.321
31.704,6.602,38.306
32.403,5.888,38.290
33.068,5.205,38.273
33.698,4.558,38.255
34.290,3.946,38.236
34.843,3.373,38.216
35.355,2.840,38.196
35.825,2.349,38.174
36.251,1.901,38.152
36.631,1.498,38.129
36.965,1.141,38.106
37.251,0.831,38.082
37.489,0.568,38.058
37.678,0.355,38.033
37.817,0.191,38.008
37.905,0.078,37.983
37.943,0.014,37.958
37.931,0.002,37.932
37.868,0.039,37.907
37.754,0.128,37.882
37.590,0.266,37.857
37.377,0.455,37.832
37.116,0.692,37.808
36.806,0.978,37.784
36.449,1.312,37.760
36.046,1.692,37.738
35.598,2.118,37.715
35.107,2.587,37.694
34.574,3.099,37.673
34.001,3.652,37.653
33.390,4.244,37.635
32.742,4.874,37.617
32.060,5.539,37.600
31.346,6.238,37.584
30.602,6.967,37.569
29.829,7.726,37.555
29.032,8.511,37.543
28.211,9.321,37.532
27.370,10.152,37.522
26.512,11.002,37.513
25.638,11.868,37.506
24.751,12.749,37.500
23.855,13.640,37.496
22.952,14.540,37.492
22.045,15.446,37.491
21.135,16.355,37.490
20.228,17.264,37.491
19.324,18.170,37.493
18.426,19.071,37.497
17.538,19.964,37.502
16.662,20.847,37.508
15.800,21.716,37.516
14.955,22.570,37.525
14.129,23.405,37.534
13.325,24.221,37.545
12.544,25.013,37.558
11.790,25.781,37.571
11.063,26.522,37.585
10.366,27.234,37.600
9.700,27.916,37.616
9.066,28.566,37.632
8.467,29.182,37.649
7.904,29.764,37.667
7.376,30.309,37.685
6.885,30.819,37.704
6.432,31.291,37.723
6.016,31.725,37.741
5.638,32.122,37.760
5.297,32.481,37.779
4.994,32.803,37.797
4.726,33.089,37.815
4.494,33.339,37.832
4.295,33.554,37.849
4.130,33.736,37.865
3.995,33.885,37.881
3.892,34.004,37.896
3.817,34.093,37.910
3.770,34.154,37.924
3.751,34.187,37.938
3.758,34.193,37.951
3.794,34.171,37.965
3.857,34.122,37.979
3.948,34.045,37.993
4.069,33.939,38.008
4.222,33.802,38.024
4.406,33.634,38.040
4.624,33.433,38.057
4.877,33.198,38.075
5.166,32.928,38.093
5.491,32.621,38.112
5.853,32.277,38.130
6.253,31.896,38.149
6.691,31.477,38.168
7.166,31.021,38.187
7.678,30.527,38.205
8.227,29.997,38.223
8.811,29.430,38.241
9.430,28.829,38.258
10.082,28.193,38.275
10.767,27.524,38.291
11.481,26.825,38.306
12.224,26.095,38.320
12.994,25.339,38.333
13.789,24.556,38.345
14.606,23.750,38.356
15.443,22.923,38.366
16.298,22.076,38.374
17.169,21.213,38.382
18.052,20.336,38.388
18.946,19.447,38.393
19.848,18.549,38.396
20.754,17.644,38.399
21.663,16.736,38.399
22.572,15.827,38.399
23.477,14.920,38.397
24.376,14.017,38.394
25.267,13.122,38.389
26.147,12.236,38.383
27.012,11.363,38.376
27.861,10.506,38.367
28.690,9.667,38.357
29.498,8.848,38.346
30.281,8.052,38.333
31.037,7.282,38.319
31.764,6.540,38.305
32.460,5.828,38.289
33.123,5.149,38.272
33.749,4.504,38.254
34.339,3.896,38.235
34.888,3.326,38.215
35.397,2.797,38.194
35.863,2.309,38.172
36.285,1.865,38.150
36.661,1.466,38.127
36.991,1.113,38.104
37.273,0.806,38.080
37.507,0.548,38.056
37.691,0.339,38.031
37.826,0.180,38.006
37.910,0.070,37.981
37.944,0.011,37.955
37.927,0.003,37.930
37.860,0.045,37.905
37.742,0.138,37.880
37.574,0.280,37.855
37.357,0.473,37.830
37.091,0.715,37.806
36.777,1.005,37.782
36.416,1.342,37.759
36.009,1.726,37.736
35.558,2.156,37.714
35.063,2.629,37.692
34.527,3.145,37.672
33.951,3.701,37.652
33.336,4.296,37.633
32.686,4.929,37.615
32.001,5.597,37.598
31.284,6.298,37.582
30.537,7.031,37.568
29.763,7.792,37.554
28.963,8.579,37.542
28.141,9.390,37.531
27.298,10.223,37.521
26.438,11.075,37.513
25.563,11.943,37.506
24.676,12.824,37.500
23.779,13.717,37.495
22.875,14.617,37.492
21.967,15.523,37.491
21.058,16.432,37.490
20.151,17.341,37.491
19.247,18.247,37.494
18.350,19.147,37.497
17.463,20.039,37.503
16.588,20.921,37.509
15.727,21.789,37.516
14.884,22.642,37.525
14.060,23.476,37.535
13.257,24.289,37.546
12.479,25.080,37.559
11.727,25.845,37.572
11.002,26.584,37.586
10.308,27.293,37.601
9.645,27.973,37.617
9.014,28.619,37.634
8.418,29.233,37.651
7.857,29.811,37.669
7.333,30.354,37.687
6.845,30.860,37.705
6.395,31.329,37.724
5.983,31.760,37.743
5.608,32.154,37.762
5.270,32.510,37.780
4.970,32.829,37.799
4.705,33.112,37.816
4.475,33.358,37.834
4.280,33.571,37.851
4.117,33.750,37.867
3.985,33.897,37.882
3.884,34.013,37.897
3.812,34.100,37.911
3.767,34.158,37.925
3.750,34.189,37.939
3.760,34.192,37.952
3.798,34.168,37.966
3.863,34.117,37.980
3.957,34.037,37.995
4.081,33.929,38.010
4.236,33.789,38.026
4.423,33.619,38.042
4.644,33.415,38.059
4.900,33.176,38.077
5.192,32.903,38.095
5.520,32.593,38.113
5.886,32.246,38.132
6.289,31.862,38.151
6.729,31.440,38.170
7.208,30.981,38.188
7.723,30.484,38.207
8.275,29.950,38.225
8.862,29.381,38.243
9.484,28.776,38.260
10.139,28.137,38.276
10.826,27.466,38.292
11.543,26.764,38.307
12.289,26.032,38.321
13.061,25.273,38.334
13.857,24.489,38.346
14.676,23.681,38.357
15.515,22.852,38.367
16.372,22.004,38.375
17.243,21.139,38.382
18.128,20.261,38.388
19.022,19.371,38.393
19.924,18.472,38.397
20.831,17.567,38.399
21.740,16.659,38.399
22.649,15.750,38.399
23.554,14.843,38.397
24.452,13.941,38.393
25.342,13.046,38.389
26.221,12.162,38.382
27.085,11.290,38.375
27.932,10.434,38.366
28.760,9.596,38.356
29.565,8.779,38.345
30.346,7.986,38.332
31.100,7.218,38.318
31.825,6.479,38.303
32.518,5.769,38.287
33.177,5.093,38.270
33.801,4.451,38.252
34.387,3.846,38.233
34.933,3.280,38.213
35.438,2.754,38.192
35.901,2.270,38.171
36.319,1.830,38.148
36.691,1.434,38.125
37.017,1.085,38.102
37.295,0.783,38.078
37.525,0.529,38.053
37.705,0.324,38.029
37.835,0.169,38.004
37.915,0.063,37.979
37.945,0.009,37.953
37.924,0.004,37.928
37.852,0.051,37.903
37.730,0.148,37.878
37.558,0.295,37.853
37.336,0.492,37.828
37.066,0.737,37.804
36.748,1.032,37.780
36.383,1.373,37.757
35.973,1.761,37.734
35.518,2.194,37.712
35.019,2.671,37.690
34.480,3.190,37.670
33.900,3.750,37.650
33.283,4.349,37.631
32.629,4.985,37.614
31.941,5.656,37.597
31.222,6.359,37.581
30.472,7.094,37.567
29.696,7.858,37.553
28.894,8.647,37.541
28.070,9.460,37.530
27.226,10.295,37.520
26.364,11.148,37.512
25.488,12.017,37.505
24.600,12.900,37.499
23.702,13.793,37.495
22.798,14.694,37.492
21.890,15.600,37.491
20.981,16.509,37.490
20.074,17.418,37.491
19.171,18.323,37.494
18.275,19.223,37.498
17.388,20.115,37.503
16.514,20.995,37.509
15.655,21.862,37.517
14.813,22.713,37.526
13.991,23.545,37.536
13.190,24.357,37.547
12.414,25.146,37.560
11.664,25.909,37.573
10.942,26.645,37.587
10.250,27.352,37.603
9.590,28.029,37.619
8.962,28.673,37.635
8.369,29.283,37.652
7.811,29.859,37.670
7.290,30.398,37.689
6.806,30.901,37.707
6.359,31.367,37.726
5.949,31.795,37.745
5.578,32.186,37.763
5.243,32.539,37.782
4.946,32.854,37.800
4.684,33.134,37.818
4.457,33.378,37.835
4.265,33.587,37.852
4.105,33.763,37.868
3.976,33.908,37.883
3.877,34.021,37.898
3.807,34.106,37.912
3.765,34.162,37.926
3.750,34.190,37.940
3.763,34.191,37.953
3.802,34.165,37.967
3.870,34.111,37.981
3.967,34.029,37.996
4.093,33.918,38.011
4.251,33.776,38.027
4.441,33.603,38.043
4.665,33.396,38.060
4.923,33.155,38.078
5.218,32.878,38.096
5.550,32.565,38.115
5.918,32.215,38.133
6.325,31.828,38.152
6.769,31.403,38.171
7.250,30.940,38.190
7.768,30.440,38.208
8.323,29.903,38.227
8.914,29.331,38.244
9.538,28.723,38.261
10.196,28.081,38.278
10.886,27.408,38.293
11.605,26.703,38.308
12.353,25.969,38.322
13.127,25.208,38.335
13.926,24.421,38.347
14.747,23.611,38.358
15.587,22.780,38.367
16.445,21.931,38.376
17.318,21.065,38.383
18.203,20.186,38.389
19.099,19.295,38.394
20.001,18.395,38.397
20.909,17.490,38.399
21.818,16.582,38.399
22.726,15.673,38.399
23.630,14.766,38.396
24.528,13.865,38.393
25.418,12.971,38.388
26.295,12.087,38.382
27.158,11.217,38.374
28.003,10.362,38.365
28.829,9.526,38.355
29.633,8.711,38.344
30.411,7.920,38.331
31.163,7.154,38.317
31.885,6.417,38.302
32.575,5.711,38.286
33.232,5.037,38.269
33.852,4.398,38.250
34.435,3.796,38.231
34.978,3.233,38.211
35.479,2.711,38.190
35.938,2.231,38.169
36.352,1.794,38.146
36.721,1.403,38.123
37.043,1.057,38.100
37.317,0.759,38.076
37.542,0.509,38.051
37.718,0.309,38.027
37.844,0.158,38.002
37.920,0.057,37.976
37.945,0.006,37.951
37.919,0.006,37.926
37.843,0.057,37.901
37.717,0.158,37.875
37.541,0.310,37.851
37.315,0.511,37.826
37.041,0.761,37.802
36.719,1.059,37.778
36.350,1.404,37.755
35.936,1.796,37.732
35.477,2.233,37.710
34.975,2.714,37.689
34.432,3.236,37.668
33.849,3.799,37.649
33.228,4.401,37.630
32.572,5.040,37.612
31.881,5.714,37.595
31.159,6.421,37.580
30.407,7.158,37.565
29.629,7.924,37.552
28.825,8.715,37.540
27.999,9.530,37.529
27.153,10.366,37.520
26.290,11.221,37.511
25.413,12.091,37.505
24.524,12.975,37.499
23.626,13.869,37.495
22.721,14.771,37.492
21.813,15.678,37.490
20.904,16.586,37.490
19.997,17.495,37.492
19.094,18.400,37.494
18.199,19.299,37.498
17.314,20.190,37.504
16.441,21.069,37.510
15.583,21.935,37.518
14.742,22.785,37.527
13.922,23.615,37.537
13.123,24.425,37.548
12.349,25.211,37.561
11.602,25.973,37.574
10.882,26.706,37.589
10.193,27.411,37.604
9.535,28.085,37.620
8.911,28.726,37.637
8.320,29.334,37.654
7.766,29.906,37.672
7.247,30.443,37.690
6.766,30.942,37.709
6.322,31.405,37.727
5.916,31.830,37.746
5.548,32.217,37.765
5.217,32.567,37.783
4.922,32.880,37.802
4.663,33.156,37.819
4.440,33.397,37.837
4.250,33.603,37.853
4.092,33.777,37.869
3.966,33.919,37.885
3.870,34.030,37.899
3.802,34.112,37.914
3.762,34.165,37.927
3.750,34.191,37.941
3.765,34.190,37.955
3.807,34.161,37.968
3.877,34.105,37.983
3.976,34.021,37.997
4.105,33.907,38.012
4.266,33.763,38.028
4.459,33.586,38.045
4.685,33.377,38.062
4.947,33.133,38.080
5.245,32.853,38.098
5.579,32.537,38.116
5.951,32.184,38.135
6.361,31.793,38.154
6.808,31.365,38.173
7.293,30.899,38.192
7.814,30.396,38.210
8.372,29.856,38.228
8.965,29.280,38.246
9.593,28.670,38.263
10.254,28.025,38.279
10.946,27.349,38.295
11.668,26.642,38.309
12.418,25.905,38.323
13.194,25.142,38.336
13.995,24.353,38.348
14.817,23.541,38.359
15.659,22.709,38.368
16.519,21.858,38.376
17.393,20.991,38.384
18.279,20.110,38.389
19.175,19.219,38.394
20.078,18.319,38.397
20.986,17.413,38.399
21.895,16.505,38.399
22.803,15.596,38.398
23.707,14.689,38.396
24.604,13.788,38.393
25.493,12.895,38.388
26.369,12.013,38.381
27.230,11.143,38.374
28.074,10.290,38.364
28.898,9.456,38.354
29.700,8.643,38.343
30.476,7.854,38.330
31.225,7.090,38.316
31.945,6.356,38.301
32.632,5.652,38.284
33.286,4.981,38.267
33.903,4.346,38.249
34.482,3.747,38.230
35.022,3.188,38.209
35.520,2.669,38.189
35.975,2.192,38.167
36.385,1.759,38.144
36.750,1.371,38.121
37.068,1.030,38.098
37.338,0.736,38.074
37.559,0.490,38.049
37.731,0.294,38.024
37.852,0.147,37.999
37.924,0.050,37.974
37.945,0.004,37.949
37.915,0.009,37.924
37.835,0.064,37.898
37.704,0.169,37.873
37.524,0.325,37.848
37.294,0.530,37.824
37.016,0.784,37.800
36.689,1.086,37.776
36.317,1.436,37.753
35.898,1.832,37.730
35.436,2.272,37.708
34.931,2.756,37.687
34.384,3.283,37.666
33.798,3.849,37.647
33.174,4.454,37.628
32.514,5.096,37.611
31.821,5.773,37.594
31.096,6.482,37.579
30.342,7.222,37.564
29.561,7.990,37.551
28.756,8.784,37.539
27.928,9.601,37.528
27.081,10.438,37.519
26.216,11.294,37.511
25.338,12.166,37.504
24.448,13.051,37.499
23.549,13.945,37.494
22.644,14.848,37.492
21.736,15.755,37.490
20.827,16.664,37.490
19.920,17.572,37.492
19.018,18.477,37.495
18.123,19.375,37.499
17.239,20.265,37.504
16.367,21.144,37.511
15.511,22.008,37.519
14.672,22.856,37.528
13.853,23.685,37.538
13.057,24.493,37.549
12.285,25.277,37.562
11.539,26.036,37.575
10.822,26.767,37.590
10.136,27.469,37.605
9.481,28.141,37.621
8.859,28.779,37.638
8.272,29.384,37.655
7.720,29.953,37.673
7.205,30.486,37.692
6.727,30.983,37.710
6.287,31.442,37.729
5.884,31.864,37.748
5.518,32.248,37.766
5.190,32.595,37.785
4.899,32.904,37.803
4.643,33.178,37.821
4.422,33.416,37.838
4.235,33.619,37.855
4.080,33.790,37.871
3.957,33.929,37.886
3.863,34.038,37.901
3.798,34.117,37.915
3.760,34.168,37.929
3.750,34.192,37.942
3.767,34.188,37.956
3.812,34.158,37.970
3.884,34.099,37.984
3.986,34.012,37.998
4.118,33.896,38.014
4.281,33.749,38.030
4.476,33.570,38.046
4.706,33.357,38.063
4.971,33.110,38.081
5.272,32.827,38.099
5.610,32.508,38.118
5.985,32.152,38.137
6.397,31.758,38.156
6.848,31.327,38.174
7.336,30.858,38.193
7.860,30.351,38.212
8.421,29.808,38.230
9.017,29.230,38.247
9.648,28.616,38.264
10.311,27.969,38.280
11.006,27.290,38.296
11.731,26.580,38.311
12.483,25.841,38.324
13.261,25.076,38.337
14.064,24.285,38.349
14.888,23.471,38.359
15.732,22.637,38.369
16.592,21.785,38.377
17.468,20.917,38.384
18.355,20.035,38.390
19.252,19.143,38.394
20.155,18.242,38.397
21.063,17.336,38.399
21.972,16.427,38.399
22.880,15.519,38.398
23.783,14.613,38.396
24.680,13.712,38.392
25.567,12.820,38.387
26.442,11.938,38.381
27.302,11.070,38.373
28.145,10.219,38.364
28.967,9.386,38.353
29.767,8.575,38.342
30.541,7.788,38.329
31.288,7.027,38.315
32.005,6.295,38.299
32.689,5.594,38.283
33.340,4.926,38.266
33.954,4.293,38.247
34.530,3.698,38.228
35.066,3.142,38.208
35.560,2.626,38.187
36.011,2.153,38.165
36.418,1.724,38.142
36.779,1.341,38.119
37.093,1.003,38.096
37.358,0.713,38.072
37.575,0.472,38.047
37.743,0.280,38.022
37.860,0.137,37.997
37.927,0.045,37.972
37.944,0.003,37.947
37.910,0.011,37.921
37.825,0.071,37.896
37.691,0.180,37.871
37.506,0.340,37.846
37.272,0.550,37.822
36.990,0.808,37.798
36.660,1.114,37.774
36.283,1.468,37.751
35.861,1.867,37.728
35.395,2.312,37.706
34.886,2.799,37.685
34.336,3.329,37.665
33.746,3.899,37.645
33.119,4.507,37.627
32.457,5.152,37.609
31.761,5.832,37.593
31.033,6.544,37.577
30.277,7.286,37.563
29.494,8.056,37.550
28.686,8.852,37.538
27.857,9.671,37.527
