Explicict Eueler,,
E_c,E_p,E_m
35.657,9.121,44.778
34.737,10.071,44.809
33.786,11.053,44.839
32.807,12.063,44.870
31.802,13.098,44.901
30.775,14.156,44.931
29.729,15.233,44.962
28.668,16.325,44.993
27.593,17.430,45.024
26.510,18.545,45.054
25.420,19.665,45.085
24.328,20.788,45.116
23.237,21.909,45.147
22.150,23.027,45.177
21.071,24.137,45.208
20.002,25.236,45.239
18.948,26.321,45.269
17.911,27.389,45.300
16.894,28.437,45.331
15.901,29.461,45.361
14.933,30.458,45.392
13.995,31.427,45.422
13.089,32.364,45.452
12.216,33.266,45.482
11.380,34.132,45.512
10.583,34.959,45.542
9.826,35.745,45.572
9.112,36.489,45.601
8.442,37.188,45.630
7.816,37.842,45.658
7.237,38.450,45.686
6.704,39.010,45.714
6.218,39.523,45.741
5.779,39.988,45.767
5.387,40.406,45.793
5.040,40.777,45.817
4.739,41.102,45.841
4.481,41.383,45.863
4.265,41.620,45.885
4.089,41.816,45.905
3.951,41.973,45.924
3.851,42.092,45.943
3.785,42.175,45.960
3.753,42.224,45.977
3.755,42.238,45.994
3.791,42.220,46.011
3.861,42.167,46.028
3.967,42.079,46.046
4.109,41.956,46.065
4.291,41.794,46.085
4.514,41.592,46.107
4.780,41.349,46.129
5.090,41.062,46.153
5.447,40.730,46.177
5.851,40.351,46.203
6.304,39.926,46.229
6.805,39.451,46.256
7.355,38.929,46.284
7.954,38.358,46.313
8.602,37.740,46.342
9.297,37.074,46.371
10.039,36.362,46.401
10.826,35.605,46.431
11.656,34.805,46.462
12.529,33.964,46.492
13.441,33.082,46.523
14.391,32.164,46.554
15.375,31.210,46.585
16.393,30.224,46.617
17.440,29.209,46.648
18.514,28.166,46.680
19.612,27.100,46.712
20.730,26.013,46.744
21.867,24.909,46.775
23.017,23.790,46.807
24.178,22.661,46.839
25.347,21.524,46.872
26.520,20.384,46.904
27.693,19.243,46.936
28.864,18.105,46.968
30.027,16.973,47.000
31.181,15.852,47.033
32.320,14.745,47.065
33.443,13.655,47.098
34.545,12.585,47.130
35.623,11.540,47.163
36.674,10.521,47.195
37.694,9.534,47.228
38.680,8.580,47.260
39.629,7.663,47.293
40.539,6.787,47.325
41.406,5.952,47.358
42.227,5.163,47.391
43.001,4.423,47.423
43.724,3.732,47.456
44.394,3.095,47.489
45.010,2.512,47.522
45.568,1.986,47.554
46.068,1.519,47.587
46.508,1.112,47.620
46.887,0.767,47.653
47.202,0.484,47.686
47.453,0.266,47.719
47.640,0.112,47.752
47.762,0.023,47.785
47.817,0.001,47.818
47.807,0.044,47.851
47.730,0.154,47.884
47.588,0.329,47.917
47.380,0.570,47.950
47.107,0.876,47.983
46.770,1.246,48.017
46.371,1.679,48.050
45.909,2.174,48.083
45.387,2.730,48.116
44.806,3.344,48.150
44.168,4.015,48.183
43.475,4.742,48.216
42.728,5.521,48.250
41.932,6.351,48.283
41.087,7.230,48.316
40.196,8.154,48.350
39.263,9.120,48.383
38.290,10.127,48.417
37.279,11.171,48.450
36.235,12.248,48.484
35.161,13.356,48.517
34.059,14.492,48.551
32.934,15.650,48.584
31.788,16.830,48.618
30.626,18.025,48.652
29.451,19.234,48.685
28.266,20.452,48.719
27.076,21.676,48.752
25.884,22.903,48.786
24.693,24.127,48.820
23.507,25.346,48.853
22.331,26.556,48.887
21.167,27.754,48.921
20.019,28.935,48.954
18.891,30.097,48.988
17.786,31.235,49.021
16.707,32.348,49.054
15.657,33.431,49.088
14.640,34.481,49.121
13.658,35.496,49.154
12.714,36.473,49.187
11.811,37.409,49.220
10.951,38.301,49.252
10.136,39.149,49.285
9.368,39.949,49.317
8.648,40.701,49.349
7.978,41.402,49.380
7.359,42.052,49.411
